"
                    2006-08-14
                ",浅浅,在这世界上，只有在你所爱的人之外，才需要辨别所谓真假。生活中的事，有种种说法。所谓真相，可能是最令人乏味最让人难以接受的。而在生活外表涂上彩虹颜色的人，他们值得尊重和信赖，因为他们的爱。
"
                    2011-04-24
                ",瑾朵朵,孪生姐妹不是连体，巨人没有那么高，他妈妈在葬礼上穿的是大红的外套
"
                    2007-02-10
                ",Lan~die,"小王子说：“因为有一朵我们看不到的花儿，星星才显得如此美丽。沙漠之所以美丽，是因为沙漠的某处藏着一口井。”
波顿说：“他说故事，因为他无法忍受这无趣的地方。”这片子是献给在现实世界中迷失、畏首畏尾、丢失了童年时代欢愉梦想的人，那条游向远方的大鱼是我们对美的向往。"
"
                    2008-04-09
                ",文泽尔,"哥特和亲情的融合..每个人心中都有一条大鱼，抱着梦想而活是最幸福的，怀抱梦想而死去的人是不朽的。
到了最后，真相已不重要，眼泪也淌下来了...其实他们都是真的，故事的虚化以外，所有的人们都是真实的."
"
                    2010-11-14
                ",争争Janice,父亲和母亲在浴缸里静静地抱在一起，父亲走后有很多朋友为他送行，这是最让我动容的两幕。此刻，我也知道了生命对我最重要的是什么了。
"
                    2011-07-05
                ",病気君,这个叫蒂姆·波顿的人，身体里住着大鱼爸爸(Big Fish)、剪刀手爱德华(Edward Scissorhand)、威利·旺卡(Willy Wonka)和疯帽子先生们的灵魂。
"
                    2011-05-26
                ",一湄,表面在过的人生，和在内心世界奔涌的人生，本来就是并行和交叉的。这个世界不仅仅是我们看得到的世界，它更真实地存在于地表之下，头顶之上。最后他变成大鱼游走了，我都看哭了。
"
                    2011-01-11
                ",曼靑,我就昰不吃Tim Burton唧唧歪歪的這一套!  总昰帶著老婆出來打醬油 还没完了？不知道究竟昰我神經敏感，還昰我硬盤裡眞的有這麽多黏不啦嘰的親情電影。一連幾天看得心裡堵得慌。
"
                    2013-02-07
                ",简里里,“知道自己会怎么死，便不担心了。因为你知道这世界上其他任何事情都杀不死你”。
"
                    2008-08-16
                ",oceanheart,我怎么没有感动？因为我没有父亲。
