"
                    2015-10-03
                ",末药煎肉塔,很好看的太空荒野求生记，马特达蒙一定是找了裸替他不可棱瘦的下来。另外贵国是有多想赚中国市场的钱，看到国家航天局直接笑出声了
"
                    2015-10-08
                ",Gawiel,男主太喜剧，影院笑不停；和近几年的几部太空大片一比，简直是反类型片，地球上没女儿没儿子没未婚妻，铺位里没照片没童年回忆，连音乐都得听别人的；从这个意义上来说，这是一个真正的太空鲁宾逊故事，不仅是情节上复制了荒“星”求生，并且重现了鲁宾逊式的精神：无牵无挂的一个人，不管怎样得活下去
"
                    2015-10-03
                ",何倩彤,並無渲染宇宙的崇高華美，Ridley Scott給過我們一個由性、汗、血、黏液溝成的潮濕太空，現在給我們換一個質樸，沉實，粗礦，禁欲的。從前太空的恐怖在於we are not alone，現在太空的嚴酷在於we are on our own。
"
                    2015-10-03
                ",小油飞,非常喜欢！这些年找一部不洒狗血不煽情的科幻片容易吗。要论科幻气质Ridley Scott比诺兰强太多了。喜剧的外表下是其实是格外正统的硬科幻路数，没有乱七八糟的感情线来喧宾夺主简直太棒。我最喜欢的地方是在求生的过程中完全没有强调对地球的执念，高潮甚至都不是回到地球，因为那完全不重要！
"
                    2015-10-03
                ",点金,本片完美展示了什么叫以逗逼的精神面对惨淡的人生 更加坚定了要做一个有逗逼精神的人 并且在逗逼的道路上找到一个一样具有逗逼精神的人
"
                    2015-10-04
                ",Figaro小姐,10 of 10. 除了火星红色的奇妙美景以外，影片最大的魅力在于表达的浅尝辄止：看到了一点官僚主义，看到了一点“no one left behind”，看到了一点美式幽默感，但归根结底，这是关于一个人竭尽所能对抗自然的故事，关于人的无限潜力，关于宇宙的不可抗。这些不可预料在一部丰富的电影里显得单纯而迷人。
"
                    2015-11-12
                ",影志,孤独如《瓦力》，求生如《荒岛余生》，乐观如《鲁滨逊漂流记》，逃生如《地心引力》…没《星际穿越》那么浩瀚，一个小火星胜似一个宇宙，逗比程度也不及原著一半，更多的是硬科幻和科普纪实。但说实话，连续三年太空科幻题材，或多或少有些疲劳，拍的又如此工整，无惊艳之笔、也绝非神作。
"
                    2015-10-03
                ",艾小柯,最精彩的还是Mark在火星上的生存体验，战胜一个个的不可能。美国英雄主义再次大放送，但因之前细节推陈的铺垫和节奏烘托，虽恶俗却也不乏感人。摄影质感依然保持了RS风，其余的情感刻画极尽精简。好看，但不隽永。3.5星。
"
                    2015-10-03
                ",72%海盐巧颗粒,太空电影可以不拍成一个人孤独战斗的缩影。无论多么绝望都剩下最后一点掐不灭的希望，这点太喜欢了，这种设定也很适合马特达蒙自身。
"
                    2015-10-05
                ",ANNA,作为一部靠谱的lifeline真人版，本片以喜庆、欢乐、祥和的风格展现了一位资产阶级话痨斗士扎根火星种植土豆开荒的故事，最后纽约北京浪登三地大屏幕直播那块儿颇有春晚风采。看了本片你会意识到：1.学好指环王，走遍nasa都不怕；2.学好种菜，走遍宇宙都不怕。3.马呆不哭躲起来撸！
