"
                    2013-04-18
                ",贝塔先生,"我们目击的事实，往往只是浮出水面的冰凌，冰山下面的巨大事实，更排山倒海穿透视听。
我们直面的人生舞台，也许只是化蝶幻影，层层垂帘般幕后的故事，更震撼世道人心。"
"
                    2013-05-15
                ",麦,韩片一定要这样吗！！！哭肿了都
"
                    2013-04-22
                ",麻绳🚬,看这么虐心的电影我都没哭，可能真的没什么电影可以让我哭了。如果想挥泪解毒的，可以尝试一下，十有八九会哭个稀里哗啦的。电影不乏刻意之处，但胡椒芥末用量太足，不中招也难，中国要能拍出这种杀伤力的催泪弹来，票房十亿起。
"
                    2013-04-20
                ",桃桃林林,又一颗韩式催泪弹，亲情总是泪点，让你无法躲开。影片套用的是《我是山姆》那样的人物关系，而在情节上则更有戏剧性。冤案加亲情的双重催泪保障。监狱里的温情更感人是因为，相比善人做好事，人们更喜欢浪子回头，恶人行善的故事。无论我们怎么吐槽韩式催泪片的套路，但是真的很有效，也确实很感人。
"
                    2013-04-27
                ",正义B胜,智障果然不是我的菜。整个故事哪哪的都不真实。虽然煽情确实很扎实。
"
                    2013-10-22
                ",卫斯理,里面有太多不现实的地方，故事的结局却又那么的现实。童话般的影片，让我大半夜看的哭到抽搐了。
"
                    2018-02-08
                ",花衬衫,对亲情，友情之类的无法抵抗，影片后面女儿和爸爸在监狱门口分别那里哭得不能自已。
"
                    2016-05-29
                ",鹤生竹溪,从头哭到了尾 即使是很喜剧很温馨的地方也因为其沉重的故事而产生极大反差 更是戳泪点
"
                    2013-10-19
                ",影志,《我是山姆》的《美丽人生》
"
                    2017-08-23
                ",(๑⁼̴̀д⁼̴́๑),"他们甚至不惜冒险将艺胜带入牢房与父亲相会。
黑暗冰冷的监牢内，7号牢房阳光满满"
"
                    2018-05-10
                ",甜鱼拌饭酱,影片结尾父女分离是本片的高潮，特别是父亲的道歉与哀求，着实让人感动，不由得跟着泪流满面！
"
                    2013-09-10
                ",白发生,电影本身还不错，但分数严重虚高。从外壳到内核依然是韩式煽情大餐不变的套路，然而有趣之处在于，尽管影片始终在讲述一个完全不切实际的故事，但其中很多地方却又让人感觉无比现实。
"
                    2013-08-28
                ",[已注销],纯扯淡 飞机上看得 浑身不自在 那表演那剧情之造作 每一秒我都在祈祷它快点结束 它就是不结束
"
                    2017-08-23
                ",良辰美景写意,但是看到时候哭的不行
"
                    2018-05-09
                ",Stark实习生,热气球那里真的希望父女俩就这样远走高飞吧，可是现实就是这么残酷又不讲道理。亲情真的是除动物外我最大的泪点。
"
                    2013-04-22
                ",明，以食为天,看那么些年韩国电影，多少了解到一些韩国警界法则，电影里面把孩子送去监狱没有人告发这些看似无厘头、没有根据的情节在以前的大韩民国是完全可以实现的，所以啊更多时候不是为亲情而哭，而为这样的社会现状而哭
"
                    2013-04-25
                ",白白的小尾巴,我发现我还真的听喜欢看韩国电影的，节奏快故事清晰，柳成龙真是太厉害了神演技，父女情把我虐得眼泪汪汪。特别是行刑前的那一段对不起真是把我虐死了！
"
                    2016-04-30
                ",走马观花,感人又有趣，温馨又有些虐心。不希望发生这样的事情，7号房里的人都好好，小萝莉很可爱
