"
                    2010-02-17
                ",裸踝,完了，不喜欢这个电影一定是我自己有问题，不必安慰我。
"
                    2010-03-05
                ",kopde,to所有男生：别想太多。你们都不是马龙白兰度，不是阿尔帕西诺。
"
                    2009-07-24
                ",账号弃用,"""Because a man who doesn't spend time with his family can never be a real man."""
"
                    2005-09-12
                ",大头绿豆,"男人。
千万不要记恨你的对手，这样会让你失去理智。"
"
                    2010-08-04
                ",獨孤島主,时隔八年有必要修正自己的观点，简陋之处依旧，而编剧与表演上的神来之笔多不胜数，回头重新品，亦可以发现《教父》带给观众的“大银幕”体验是足以驳斥掉持 反对论者的。一杀二场面中的短暂神色与打击数量，确实精确到无以复加。
"
                    2010-02-18
                ",问津,2010-02-17 看过。对权力有清醒的认识才能写出这样的剧本。只知道引用台词或把此片当作所谓“男人圣经”的观众退散！
"
                    2014-05-26
                ",刘康康,科波拉是有厌女症吧？这片子里的女人要么圣母得让人恶心，要么就傻逼得遭人烦，除了哭哭啼啼就是无理取闹。最后一个镜头，麦克成为新的教父，一道门隔开他的妻子，不是没有理由的。这是一个男人的世界。相对来说我最喜欢医院里那场戏，拍得相当有张力，第一场婚礼戏也喜欢。
"
                    2014-06-28
                ",伍德与夏洛蒂,无论阿尔帕西诺多卖力，教父也只有一个，那就是永远的马龙白兰度。时代不一样，要走的路不一样，所以那个黄金时代，讲义气重家庭谈承诺的时代，永远回不去了。
"
                    2005-11-25
                ",私享史,当一个新生儿在教堂接受教父的洗礼时，教堂之外的死亡正在蔓延……
"
                    2006-06-01
                ",恶魔的步调,讲述的是一个好孩子怎么变成老大的过程
"
                    2013-11-14
                ",夏休,聪明的女人不会去揭穿男人的谎言，聪明的男人不会让女人知道自己在说谎。
"
                    2017-05-12
                ",同志亦凡人中文站,N年前看过英文原著，只记得是个血腥暴力的故事，想不到电影可以如此沉稳和大气，有一种史诗气质。大银幕上看马龙·白兰度，感觉膝盖好疼...
"
                    2008-12-08
                ",seki_iiiiii,这男人。。。牛逼又孤独吧。。
"
                    2007-12-15
                ",布宜諾斯,男性电影，没有打动我
"
                    2014-06-17
                ",欢乐分裂,#SIFF2014#三小时内群像毕现，人物笔墨浓淡均匀，无闲笔；很多场面的调度堪称伟大，环境、声音、布光、道具浑然一体，如医院换房间那段，剪辑得太好，百忙之中不忘特写教父眼角泪珠，动静相宜；如洗礼与杀戮并行那段剪辑，可谓惊心动魄，在喜悦和冷血交错中教父二代逐渐升华定格。
"
                    2016-11-10
                ",闻人林,年纪越大，这个片打分越高
"
                    2010-07-22
                ",bayer04,当全世界都告诉你某片特好，不去看是：不对的
"
                    2018-09-08
                ",阿茶,没想到这种女性完全失语的绝对男权影片能让我目不转睛揪心到凌晨三点……科波拉太会拍了。打光配乐满分。男性成长电影，虽重点刻画阿尔帕西诺逐渐成为新教父的故事，马龙白兰度的优雅却成为永恒的经典。开场婚礼群戏绝了，人物介绍和伏笔自然融入，相当巧妙。当然还是受不了男权者对这部片的集体高潮。
"
                    2012-09-04
                ",Q,不做愧疚内心的事，内敛，沉稳，勇敢，爱家庭，不自私，为爱的人挺身而出，虽然是男人必看的片子，但是作为女人还是学到不少。戴安基顿年轻时候太美了！最后一个小时精彩得我都没眨眼睛！
"
                    2013-11-04
                ",朝暮雪,黑帮片的里程碑，也是黑帮片的天花板。
"
                    2011-02-01
                ",Q。,平缓的节奏蕴藏着巨大的权威和张力，音乐舒缓淡淡忧伤，利益博弈人性冲突。无论是演技还是镜头、音乐的运用，都给人以一种美的享受。而看这部电影是极其需要沉下心来细细品味，也无论何时翻出来重温都能有新的感受。★★★★☆
"
                    2010-04-06
                ",隆咚锵,这是唯一一部值得5星的
"
                    2007-02-13
                ",眠去,看多少遍都不厌
"
                    2008-05-05
                ",c,之所以为经典，是因为在看了如此多模仿它的电影后，还是觉得它的出众。
"
                    2011-12-30
                ",鼓腹游,3个多小时，从头到尾，没半点沉闷，到最后也是意犹未尽。权利争斗，心狠手辣，阴谋阳谋，博弈算计，人性阴暗，像病毒一样深入到骨子里的人性挖掘。几乎所有权利斗争的始祖，完全彻底的影响整个价值观，不仅仅是电影。马龙白兰度的演技，令教父不朽。面瘫却又如此摄人威严，这正是他的个人魅力！9.6
"
                    2012-10-03
                ",Shany,实在是不懂，也不想去懂，为什么人们会痴迷于这种类型的电影。每一个暴力的镜头都让我难受，我不愿意再去回想这其中的任何一个情节。我甚至觉得，把这样的电影奉为经典，即使它技巧高超，难道不是在暗中唆使更多的人去崇尚暴力吗？damn masculinity. it equals violence in some ways.
"
                    2016-05-28
                ",濛大板儿,全程都因为男主太帅捂着胸口哭泣。好想做Michael的性奴，被他用皮绳栓起来，看着忠诚于他的人亲吻他的手臂，被他用皮带在浑身留下鞭痕。
"
                    2008-03-18
                ",战国客,只能说，我欣赏不了
"
                    2013-09-30
                ",陀螺凡达可,大银幕重看，震撼翻倍。
"
                    2009-12-31
                ",米粒,结局太震撼！马龙白兰度，阿尔帕西诺，无一不是光芒四射啊。。。
"
                    2017-02-24
                ",徐伊景,生活是这样的美丽。剧情什么的都很不错，但有一句话我不喜欢，好像是说男人需要考虑很多，承担很多，但小孩和女人不用。用觉得有点性别歧视的意味。
